Course Name,CRN,Type,Section,Time,Day,Location,Instructor
ECE 205,68312,Laboratory,ABB,10:00AM,11:50AM,F,4074 Electrical & Computer Eng Bldg,Ng. A,3
ECE 205,68313,Laboratory,ABC,03:00PM,04:50PM,F,4074 Electrical & Computer Eng Bldg,Ashok. S Huang. P,3
ECE 205,60609,Lecture,AL,12:00PM,12:50PM,MWF,1002 Electrical & Computer Eng Bldg,Ravaioli. U,3
ECE 206,36694,Laboratory,F1,12:00PM,01:50PM,M,4074 Electrical & Computer Eng Bldg,Link. S Radhakrishnan. C Wang. H,1
ECE 206,36831,Laboratory,F2,08:00AM,09:50AM,T,4074 Electrical & Computer Eng Bldg,Kang. J Link. S Radhakrishnan. C,1
ECE 206,36830,Laboratory,F3,12:00PM,01:50PM,W,4074 Electrical & Computer Eng Bldg,Radhakrishnan. C Wang. H Wolstenholme. I,1
ECE 206,36828,Laboratory,F4,08:00AM,09:50AM,F,4074 Electrical & Computer Eng Bldg,Han. M Radhakrishnan. C,1
ECE 206,36827,Laboratory,F5,12:00PM,01:50PM,F,4074 Electrical & Computer Eng Bldg,Radhakrishnan. C Wolstenholme. I Wu. H,1
ECE 206,36825,Laboratory,F6,07:00PM,08:50PM,M,4074 Electrical & Computer Eng Bldg,Han. M Radhakrishnan. C,1
ECE 210,36863,Laboratory,AB1,12:00PM,01:50PM,W,4072 Electrical & Computer Eng Bldg,Aoun. T Irvin. R,4
ECE 210,36891,Laboratory,AB2,12:00PM,01:50PM,W,4072 Electrical & Computer Eng Bldg,Aoun. T Irvin. R,4
ECE 210,36867,Laboratory,AB3,02:00PM,03:50PM,W,4072 Electrical & Computer Eng Bldg,Wu. Y Yang. S,4
ECE 210,36874,Laboratory,AB4,02:00PM,03:50PM,W,4072 Electrical & Computer Eng Bldg,Wu. Y Yang. S,4
ECE 210,36875,Laboratory,AB5,04:00PM,05:50PM,W,4072 Electrical & Computer Eng Bldg,Chavez. J Tian. M,4
ECE 210,36881,Laboratory,AB6,04:00PM,05:50PM,W,4072 Electrical & Computer Eng Bldg,Chavez. J Tian. M,4
ECE 210,36878,Laboratory,AB7,10:00AM,11:50AM,R,4072 Electrical & Computer Eng Bldg,Aoun. T Tian. M,4
ECE 210,36888,Laboratory,AB8,10:00AM,11:50AM,R,4072 Electrical & Computer Eng Bldg,Aoun. T Tian. M,4
